"ronda","order_number","sku","quantity","skew_disparo_ms","http_status","http_ok","respuesta","error"
"1","ORD-E1B2-R1-01","PROD-005","1","2,79","200","True","{""success"":true,""order_number"":""ORD-E1B2-R1-01"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"1","ORD-E1B2-R1-02","PROD-005","1","20,31","200","True",,
"1","ORD-E1B2-R1-03","PROD-005","1","20,38","200","True",,
"1","ORD-E1B2-R1-04","PROD-005","1","20,4","200","True","{""success"":true,""order_number"":""ORD-E1B2-R1-04"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"1","ORD-E1B2-R1-05","PROD-005","1","20,42","200","True",,
"1","ORD-E1B2-R1-06","PROD-005","1","20,43","200","True","{""success"":true,""order_number"":""ORD-E1B2-R1-06"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"1","ORD-E1B2-R1-07","PROD-005","1","20,45","200","True",,
"1","ORD-E1B2-R1-08","PROD-005","1","20,47","200","True",,
"1","ORD-E1B2-R1-09","PROD-005","1","20,49","200","True",,
"1","ORD-E1B2-R1-10","PROD-005","1","20,51","200","True","{""success"":true,""order_number"":""ORD-E1B2-R1-10"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"1","ORD-E1B2-R1-11","PROD-005","1","20,53","200","True",,
"1","ORD-E1B2-R1-12","PROD-005","1","20,55","200","True",,
"1","ORD-E1B2-R1-13","PROD-005","1","20,56","200","True","{""success"":true,""order_number"":""ORD-E1B2-R1-13"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"1","ORD-E1B2-R1-14","PROD-005","1","20,58","200","True",,
"1","ORD-E1B2-R1-15","PROD-005","1","20,6","200","True","{""success"":true,""order_number"":""ORD-E1B2-R1-15"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"1","ORD-E1B2-R1-16","PROD-005","1","20,61","200","True","{""success"":true,""order_number"":""ORD-E1B2-R1-16"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"1","ORD-E1B2-R1-17","PROD-005","1","20,62","200","True",,
"1","ORD-E1B2-R1-18","PROD-005","1","20,64","200","True",,
"1","ORD-E1B2-R1-19","PROD-005","1","20,66","200","True",,
"1","ORD-E1B2-R1-20","PROD-005","1","20,67","200","True",,
"2","ORD-E1B2-R2-01","PROD-005","1","0,07","200","True",,
"2","ORD-E1B2-R2-02","PROD-005","1","0,19","200","True",,
"2","ORD-E1B2-R2-03","PROD-005","1","0,21","200","True",,
"2","ORD-E1B2-R2-04","PROD-005","1","0,23","200","True","{""success"":true,""order_number"":""ORD-E1B2-R2-04"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"2","ORD-E1B2-R2-05","PROD-005","1","0,25","200","True","{""success"":true,""order_number"":""ORD-E1B2-R2-05"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"2","ORD-E1B2-R2-06","PROD-005","1","0,26","200","True",,
"2","ORD-E1B2-R2-07","PROD-005","1","0,28","200","True","{""success"":true,""order_number"":""ORD-E1B2-R2-07"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"2","ORD-E1B2-R2-08","PROD-005","1","0,29","200","True","{""success"":true,""order_number"":""ORD-E1B2-R2-08"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"2","ORD-E1B2-R2-09","PROD-005","1","0,3","200","True","{""success"":true,""order_number"":""ORD-E1B2-R2-09"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"2","ORD-E1B2-R2-10","PROD-005","1","0,31","200","True",,
"2","ORD-E1B2-R2-11","PROD-005","1","0,32","200","True","{""success"":true,""order_number"":""ORD-E1B2-R2-11"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"2","ORD-E1B2-R2-12","PROD-005","1","0,34","200","True",,
"2","ORD-E1B2-R2-13","PROD-005","1","0,36","200","True","{""success"":true,""order_number"":""ORD-E1B2-R2-13"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
