id,intent,segundos
126,FAQ,4.4
78,ESTADO_PEDIDO,4.6
130,FAQ,4.1
142,GENERAL,8.7
79,FAQ,6.8
16,RECLAMO,0.7
1,GENERAL,4.9
41,RECLAMO,7.6
49,RECLAMO,7.1
116,FAQ,2.6
19,ESTADO_PEDIDO,2.5
73,GENERAL,1.9
69,RECLAMO,3.5
15,RECLAMO,15.3
138,GENERAL,4.2
86,FAQ,3.1
30,RECLAMO,3.5
27,GENERAL,1.5
143,RECLAMO,3.7
14,GENERAL,1.2
131,RECLAMO,1.5
68,FAQ,1.5
4,ESTADO_PEDIDO,1.9
93,FAQ,2.8
84,RECLAMO,2.6
60,ESTADO_PEDIDO,1.6
128,GENERAL,1.8
145,FAQ,4.9
67,ESTADO_PEDIDO,3.4
5,ESTADO_PEDIDO,0.7
34,RECLAMO,5.5
119,FAQ,7.2
22,GENERAL,4.2
118,ESTADO_PEDIDO,6.2
44,FAQ,3.0
45,RECLAMO,1.8
46,ESTADO_PEDIDO,3.6
102,RECLAMO,4.5
63,RECLAMO,2.3
6,FAQ,1.6
43,ESTADO_PEDIDO,1.3
13,FAQ,10.9
29,FAQ,2.3
36,FAQ,1.3
147,GENERAL,1.0
72,FAQ,2.0
32,FAQ,2.7
48,GENERAL,1.3
140,FAQ,5.4
31,ESTADO_PEDIDO,4.6
